Date,Close,High,Low,Open,Volume,Ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2020-01-02,72.40052795410156,72.46079141879511,71.15668916006118,71.4097927692221,135480400,AAPL
2020-01-03,71.69662475585938,72.45594269937853,71.47244650368873,71.62912999102163,146322800,AAPL
2020-01-06,72.2679214477539,72.306490935931,70.56849521434884,70.8191932093111,118387200,AAPL
2020-01-07,71.92803192138672,72.53307183094348,71.70867212634163,72.27755544471,108872000,AAPL
2020-01-08,73.08509063720703,73.38640783949229,71.63153674763797,71.63153674763797,132079200,AAPL
2020-01-09,74.63748931884766,74.83032941641996,73.81067654984861,74.06136720541696,170108400,AAPL
2020-01-10,74.80623626708984,75.370308736383,74.30484750773756,74.87132551313572,140644800,AAPL
2020-01-13,76.40442657470703,76.43094632364196,75.0039042885127,75.1220256778742,121532000,AAPL
2020-01-14,75.37271881103516,76.55147571173875,75.24978634537415,76.3417600315841,161954400,AAPL
2020-01-15,75.0497055053711,76.0524904138791,74.6182170498927,75.17264532410701,121923600,AAPL
2020-01-16,75.98979949951172,76.10068954693726,75.23048148138665,75.5920621906251,108829200,AAPL
2020-01-17,76.8310775756836,76.83348311126043,75.9319442855303,76.2380799522902,137816400,AAPL
2020-01-21,76.31040954589844,76.90098699093934,76.1730071029982,76.45986173724447,110843200,AAPL
2020-01-22,76.58279418945312,77.13480208755844,76.4887796776353,76.79491535128935,101832400,AAPL
2020-01-23,76.95162200927734,77.03116654175618,76.0886451198764,76.6358420591075,104472000,AAPL
2020-01-24,76.72985076904297,77.93993845348767,76.53941616685312,77.19749582877215,146537600,AAPL
2020-01-27,74.47357940673828,75.15334557711078,73.49248860994267,74.74114561147599,161940000,AAPL
2020-01-28,76.58038330078125,76.75152944120848,75.25458738363722,75.35342032568062,162234000,AAPL
2020-01-29,78.18338012695312,79.02948122719883,77.46986301615,78.2098998673926,216229200,AAPL
2020-01-30,78.07007598876953,78.12310810744944,76.83588197917527,77.26737024678101,126743200,AAPL
2020-01-31,74.60856628417969,77.78324080814086,74.31448034488959,77.36139664518089,199588400,AAPL
2020-02-03,74.40369415283203,75.56798119819389,72.85130652142897,73.35269537300906,173788400,AAPL
2020-02-04,76.8600082397461,77.05044280806926,75.60170706629567,76.00667569866678,136616400,AAPL
2020-02-05,77.48674774169922,78.28463523931488,76.88411323556181,77.98572352193352,118826800,AAPL
2020-02-06,78.39311981201172,78.39553270453209,77.19990767879175,77.75674147890366,105425600,AAPL
2020-02-07,77.32754516601562,78.141823360646,76.83704482888538,77.89294895065062,117684000,AAPL
2020-02-10,77.6948013305664,77.6948013305664,75.83428641741939,75.91401971596468,109348800,AAPL
2020-02-11,77.22608184814453,78.2626594464788,77.00861992424286,78.19017459645835,94323200,AAPL
