Date,Close,High,Low,Open,Volume,Ticker
,META,META,META,META,META,
2020-01-02,208.1465606689453,208.15647735421365,204.6638965025992,205.14015477509616,12077100,META
2020-01-03,207.0452117919922,208.76173709486574,205.33860317480784,205.59658840250805,11188400,META
2020-01-06,210.9446258544922,211.12321704244698,204.91196510836792,205.09055629632272,17058900,META
2020-01-07,211.40103149414062,212.9092004360152,210.1012340740953,211.16290991488245,14912400,META
2020-01-08,213.544189453125,214.55625145649813,210.95451162741892,211.34147428459448,13475000,META
2020-01-09,216.60025024414062,216.67962915565775,214.59597436327618,215.84615815471753,12642800,META
2020-01-10,216.3621063232422,218.16794243532362,215.72709019217615,217.4932292798279,12119400,META
2020-01-13,220.18214416503906,220.24167456420014,217.50317022293493,217.8901329574613,14463400,META
2020-01-14,217.3542938232422,220.64845001554536,216.92764927181693,219.8844413569729,13288900,META
2020-01-15,219.42803955078125,219.95391156667583,218.42590922878898,218.8922508489187,10036500,META
2020-01-16,220.043212890625,220.89651718671533,218.6739532866718,220.83698679349612,10015300,META
2020-01-17,220.4103240966797,220.55915007771634,218.81285962698286,220.30117999726025,15905900,META
2020-01-21,219.71580505371094,220.63855653131444,217.4138619930568,220.43020013184636,14275800,META
2020-01-22,219.5967254638672,221.01558367210345,219.55702844071217,220.5790072572682,12212800,META
2020-01-23,218.04885864257812,219.7653990977893,217.56268366067917,219.03115557209316,11195000,META
2020-01-24,216.24305725097656,220.05315424389215,214.4273043543575,219.08078905236238,11905800,META
2020-01-27,213.19696044921875,214.37769721656775,210.84541874146058,211.44075303860495,13810700,META
2020-01-28,216.0941925048828,217.03680753347362,211.85745134891118,214.45704612676462,13413800,META
2020-01-29,221.4918212890625,222.45426962099896,216.74904184342662,219.7157657381559,33181300,META
2020-01-30,207.89852905273438,209.7837289696415,203.15574892158747,204.92188804289427,48775500,META
2020-01-31,200.33786010742188,207.0650673895748,199.49447245565628,206.8070821530458,31359900,META
2020-02-03,202.60009765625,203.54269754941683,200.92325424778556,201.85593745533228,15495600,META
2020-02-04,208.19618225097656,208.96019096490863,203.60222842171876,205.0111699219711,19628900,META
2020-02-05,208.4739990234375,211.07359379720026,207.08490604661267,210.85530559513091,12538200,META
