Date,Close,High,Low,Open,Volume,Ticker
,XOM,XOM,XOM,XOM,XOM,
2020-01-02,53.306419372558594,53.39663812998869,52.810193261943,52.810193261943,12456400,XOM
2020-01-03,52.87785720825195,53.65978552441793,52.750043491927194,53.63722510137218,17386900,XOM
2020-01-06,53.283851623535156,53.652258177183896,52.80266591455302,52.87032996604139,20081900,XOM
2020-01-07,52.8477783203125,53.02070139707004,52.26133356228875,53.005666852381474,17387700,XOM
2020-01-08,52.050819396972656,52.84778225712351,52.00570428717327,52.712448400099134,15137700,XOM
2020-01-09,52.44929122924805,52.554550239206904,51.59969327376972,51.98314008786891,14811800,XOM
2020-01-10,51.9831428527832,52.5996624022709,51.9681083089262,52.57710771839233,11995600,XOM
2020-01-13,52.479366302490234,52.53199580772132,51.960585653651,52.02824970201132,9953900,XOM
2020-01-14,52.028255462646484,52.313963439408525,51.79518273312923,52.16358931053732,16261000,XOM
2020-01-15,51.945560455322266,52.32148724073761,51.79519203563114,52.02826480700864,11390300,XOM
2020-01-16,51.7425537109375,52.31396393367381,51.72751916600158,52.10344588745163,13340300,XOM
2020-01-17,51.54705810546875,51.93802501623516,51.344060247475376,51.689912061654766,18144100,XOM
2020-01-21,50.81024932861328,51.44180337133206,50.75761982505339,51.411728549842735,17982600,XOM
2020-01-22,50.51704025268555,50.90048142092999,50.374186247151044,50.7952223861742,17033100,XOM
2020-01-23,50.20124435424805,50.32154364049882,49.65991477467664,50.15613498999685,19605900,XOM
2020-01-24,49.8629150390625,50.13358270990948,49.652397014222835,50.02832369748965,18238600,XOM
2020-01-27,48.67499923706055,49.41933841244711,48.64492440547232,49.18625990168524,21231000,XOM
2020-01-28,48.607330322265625,49.02084630895659,48.59229003987714,48.95318224676948,19664700,XOM
2020-01-29,48.20132064819336,48.96820857183169,48.04343212674388,48.893024381072806,14202800,XOM
2020-01-30,48.71258544921875,48.78024950598161,47.690064303878515,47.95321186271168,18544700,XOM
2020-01-31,46.70513916015625,47.517142326285445,46.50965850984377,47.517142326285445,34282900,XOM
2020-02-03,45.66006088256836,46.17883874428248,45.38939317451113,46.14876678523763,27389300,XOM
2020-02-04,45.08864974975586,46.54724432728092,45.028500100492245,46.201392448294534,31922100,XOM
2020-02-05,47.16376876831055,47.314140038924236,45.562320042247634,45.67509921223126,32099200,XOM
2020-02-06,46.524696350097656,47.3742887577294,46.44950927767877,47.31414196788785,16055400,XOM
2020-02-07,46.2164306640625,46.35928178140729,45.908170876460346,46.17131842633053,15112500,XOM
2020-02-10,45.72833251953125,46.15541606523259,45.4690323148677,46.12490947426779,20934500,XOM
2020-02-11,46.16304397583008,46.43759749213824,45.88849045952191,46.201178671415285,14908700,XOM
