Date,Close,High,Low,Open,Volume,Ticker
,TLT,TLT,TLT,TLT,TLT,
2020-01-02,114.62266540527344,115.05770137433647,114.33822421091143,114.43861221703578,11034100,TLT
2020-01-03,116.38790130615234,116.42137248744334,115.35052446540804,115.67679827266075,12366000,TLT
2020-01-06,115.72698211669922,116.8814952250649,115.57638734514471,116.864759635889,11369800,TLT
2020-01-07,115.15811157226562,115.84413045435488,115.1497501586488,115.63498022428136,8381200,TLT
2020-01-08,114.39679718017578,115.71025378883756,114.04542637851756,115.39234140211654,10621700,TLT
2020-01-09,114.79834747314453,114.98240064581702,113.70240261392144,113.77769361214743,7411500,TLT
2020-01-10,115.8190689086914,115.8441659227429,115.1414239982592,115.17488242848756,8776000,TLT
2020-01-13,115.46765899658203,115.52621442110981,114.94059634824903,115.35053538200987,5966900,TLT
2020-01-14,116.06163024902344,116.13693402595484,115.56803882016602,115.60149723673446,13920300,TLT
2020-01-15,116.8313217163086,116.92334833470215,116.30427177961631,116.72257226949286,6290500,TLT
2020-01-16,116.46321105957031,116.73091669606328,116.07000763506713,116.5050308900577,6798600,TLT
2020-01-17,115.46765899658203,115.56804701892486,114.91549934266332,115.09955256063623,9693100,TLT
2020-01-21,116.6806640625,116.83124601383524,116.09504630923581,116.12850470991822,6794900,TLT
2020-01-22,117.09065246582031,117.24123448093397,116.78110149222832,116.88986368015375,6317000,TLT
2020-01-23,117.91053771972656,118.27864417329195,117.77667850651784,117.8352466993656,9747400,TLT
2020-01-24,118.86422729492188,119.25743063956271,118.21167977945696,118.31206777706282,8585000,TLT
2020-01-27,120.71314239501953,120.71314239501953,120.05223327812082,120.42870114296272,10935200,TLT
2020-01-28,119.76780700683594,120.54583984045914,119.4833657192007,120.4119806113889,10612900,TLT
2020-01-29,120.93903350830078,121.05615713282887,119.99367033249129,120.00204451207608,9566800,TLT
2020-01-30,120.95574951171875,121.86764135253259,120.71312812237323,121.22345513920295,14711800,TLT
2020-01-31,122.0600814819336,122.13538527415196,121.38243671059612,121.44936632283564,14538100,TLT
2020-02-03,121.96117401123047,122.14553300806034,120.77122862324433,121.46676251369797,15309000,TLT
2020-02-04,120.31875610351562,120.78802904411837,119.88299717864368,120.66233550171714,11388300,TLT
2020-02-05,119.0030517578125,119.58126737237427,118.91087227162551,119.2460762153614,10782600,TLT
2020-02-06,119.5394058227539,119.73215295079319,118.9947168111964,119.14554904698991,6683100,TLT
2020-02-07,121.03099060058594,121.29077845829876,120.56171785470511,120.85501971424229,11374800,TLT
2020-02-10,121.36620330810547,121.71815789290696,121.24049702206791,121.59246439359366,6699300,TLT
2020-02-11,120.75444030761719,121.27399034369179,120.62035875420416,121.16504748320361,7784100,TLT
2020-02-12,120.14277648925781,120.29362153205562,119.8243485753141,120.14277648925781,5595500,TLT
2020-02-13,120.60367584228516,120.83831232397074,120.0589867498142,120.20144370035692,7883400,TLT
2020-02-14,121.1315689086914,121.57570299586216,121.04776471662262,121.30753981062162,7137400,TLT
2020-02-18,121.96117401123047,122.3885574978473,121.44162381292341,121.79357841049188,6909200,TLT
2020-02-19,121.95276641845703,122.0281825008136,121.49186904840909,121.60918721653753,5707700,TLT
2020-02-20,122.90808868408203,123.13434974277847,122.34663647575755,122.4136772630277,9332900,TLT
