Date,Close,High,Low,Open,Volume,Ticker
,NVDA,NVDA,NVDA,NVDA,NVDA,
2020-01-02,5.9707536697387695,5.9707536697387695,5.891363041927383,5.941884393688347,237536000,NVDA
2020-01-03,5.875187397003174,5.918989509206405,5.826158936868676,5.851046511408945,205384000,NVDA
2020-01-06,5.899824142456055,5.905050488955514,5.755726032004728,5.781857764502028,262636000,NVDA
2020-01-07,5.97125244140625,6.017045403475826,5.883150748902034,5.928197022093987,314856000,NVDA
2020-01-08,5.982451438903809,6.023764739731018,5.926952474390596,5.967021135605146,277108000,NVDA
2020-01-09,6.048154354095459,6.120576999500233,5.994397505336159,6.068811004490261,255112000,NVDA
2020-01-10,6.080509185791016,6.1857833144054,6.06632351903336,6.155420652016834,316296000,NVDA
2020-01-13,6.271146774291992,6.296283085616818,6.140985084223415,6.163633065444852,319840000,NVDA
2020-01-14,6.154175758361816,6.2537255760549,6.140985045565615,6.228340052126756,359088000,NVDA
2020-01-15,6.111616134643555,6.189265113518231,6.0857331416853295,6.166866351354734,263104000,NVDA
2020-01-16,6.1952385902404785,6.20121162555612,6.141730485110568,6.1651246756422955,284192000,NVDA
2020-01-17,6.20395040512085,6.221869514641433,6.156415325826517,6.2144031003351135,253792000,NVDA
2020-01-21,6.170600414276123,6.204198560894106,6.13650431691283,6.16736492115884,217916000,NVDA
2020-01-22,6.224606513977051,6.311214823727861,6.196981400554024,6.215895935392397,239240000,NVDA
2020-01-23,6.293046951293945,6.301508791795194,6.175827247965222,6.264675623846474,244516000,NVDA
2020-01-24,6.2338151931762695,6.4583003373897805,6.179560391908617,6.408525194546055,373512000,NVDA
2020-01-27,5.977972030639648,6.02899133900115,5.779618620640297,5.929192314169117,470536000,NVDA
2020-01-28,6.1713480949401855,6.203701607240368,5.99066457305883,6.043923950276957,310976000,NVDA
2020-01-29,6.110871315002441,6.19299997011159,6.071050915088323,6.1569130145371735,258848000,NVDA
2020-01-30,6.117590427398682,6.131029877336464,5.9580619920465185,6.013063007373622,290504000,NVDA
2020-01-31,5.884145259857178,6.083742808298976,5.842334486746621,6.071796737498564,370420000,NVDA
