Datetime,Close,High,Low,Open,Volume,Ticker
,TLT,TLT,TLT,TLT,TLT,
2024-04-01 13:30:00+00:00,92.72000122070312,93.30000305175781,92.70999908447266,93.29000091552734,12523520,TLT
2024-04-01 14:30:00+00:00,92.69999694824219,92.80000305175781,92.66999816894531,92.7249984741211,5533522,TLT
2024-04-01 15:30:00+00:00,92.5199966430664,92.73999786376953,92.51000213623047,92.70999908447266,4140931,TLT
2024-04-01 16:30:00+00:00,92.54499816894531,92.58999633789062,92.5,92.5250015258789,4376559,TLT
2024-04-01 17:30:00+00:00,92.625,92.64600372314453,92.51499938964844,92.54499816894531,3431772,TLT
2024-04-01 18:30:00+00:00,92.50399780273438,92.62999725341797,92.4926986694336,92.625,4371923,TLT
2024-04-01 19:30:00+00:00,92.54900360107422,92.54900360107422,92.45500183105469,92.5,5213327,TLT
2024-04-02 13:30:00+00:00,91.94000244140625,91.98680114746094,91.33499908447266,91.58000183105469,11497913,TLT
2024-04-02 14:30:00+00:00,91.86009979248047,92.02999877929688,91.79000091552734,91.9386978149414,4622180,TLT
2024-04-02 15:30:00+00:00,91.94989776611328,91.94989776611328,91.80500030517578,91.86000061035156,3987721,TLT
2024-04-02 16:30:00+00:00,91.92009735107422,92.05999755859375,91.88099670410156,91.94000244140625,3421066,TLT
2024-04-02 17:30:00+00:00,92.01499938964844,92.02999877929688,91.875,91.92500305175781,2743670,TLT
2024-04-02 18:30:00+00:00,91.97000122070312,92.01499938964844,91.91000366210938,92.01499938964844,2755974,TLT
2024-04-02 19:30:00+00:00,92.08999633789062,92.19999694824219,91.9749984741211,91.9800033569336,7861610,TLT
2024-04-03 13:30:00+00:00,91.30999755859375,91.68000030517578,91.05069732666016,91.26000213623047,11736696,TLT
2024-04-03 14:30:00+00:00,91.625,91.63999938964844,91.29499816894531,91.30000305175781,6252653,TLT
2024-04-03 15:30:00+00:00,91.80000305175781,91.80999755859375,91.49500274658203,91.62100219726562,4572835,TLT
2024-04-03 16:30:00+00:00,91.7499008178711,92.01000213623047,91.66000366210938,91.80500030517578,4327099,TLT
2024-04-03 17:30:00+00:00,91.87000274658203,91.95999908447266,91.74500274658203,91.75,1696804,TLT
2024-04-03 18:30:00+00:00,91.95500183105469,92.02999877929688,91.8499984741211,91.87090301513672,2347091,TLT
